,0,1,2,3,4,5,label
0,300.28,1787900000.0,0.2395,13.733,-16.0,163.26,ML
1,300.5,1798000000.0,0.32152,14.087,-10.583,127.36,ML
2,300.68,1808600000.0,0.26739,13.296,-33.583,74.962,LL
3,300.87,1820000000.0,0.10171,13.517,-39.833,64.128,LL
4,301.05,1832200000.0,0.23294,13.809,-25.333,135.19,ML
5,301.23,1845500000.0,0.20669,13.205,-21.917,109.16,ML
6,301.42,1860000000.0,0.1624,13.388,-25.667,82.532,LL
7,301.6,1875900000.0,0.21325,13.819,-20.5,98.226,LL
8,302.25,1893200000.0,0.29528,13.286,-26.833,90.027,LL
9,302.9,1911700000.0,0.11811,14.087,-23.333,81.506,LL
10,303.55,1931400000.0,0.21654,13.834,-27.5,47.192,VLL
11,304.2,1952300000.0,0.25262,14.409,-20.333,111.46,ML
12,304.85,1974100000.0,0.29199,14.881,-9.8333,111.71,ML
13,305.5,1997000000.0,0.26575,13.997,-20.917,101.55,ML
14,305.64,2020600000.0,0.19357,13.925,-21.417,95.29,LL
15,305.78,2045000000.0,0.10827,14.07,-36.417,85.554,LL
16,305.91,2070000000.0,0.18045,14.403,-14.333,138.26,ML
17,306.05,2095500000.0,0.24606,14.617,-9.6667,108.9,ML
18,306.19,2121300000.0,0.13123,13.946,-17.333,124.99,ML
19,306.33,2147100000.0,0.17717,13.478,-28.75,76.762,LL
20,306.46,2172500000.0,0.17388,14.921,-14.0,111.71,ML
21,306.6,2197300000.0,0.2231,13.953,-19.75,136.69,ML
22,306.76,2221100000.0,0.24606,14.65,-15.417,137.72,ML
23,306.93,2243700000.0,0.29199,13.579,-2.3333,141.19,ML
24,307.09,2264600000.0,0.24606,13.628,-2.9167,147.66,ML
25,307.25,2283500000.0,0.12139,14.158,-3.1667,101.31,ML
26,307.41,2300000000.0,0.37073,14.64,7.5,182.9,ML
27,307.58,2314100000.0,0.38714,14.735,12.167,243.88,HL
28,307.74,2326500000.0,0.27231,13.621,9.5,156.9,ML
29,307.9,2338600000.0,0.18701,14.179,13.333,153.96,ML
30,308.38,2351600000.0,0.27559,13.48,25.083,137.02,ML
31,308.86,2366600000.0,0.26575,13.719,11.583,133.88,ML
32,309.34,2385000000.0,0.13123,12.757,-3.75,126.21,ML
33,309.82,2408000000.0,0.15748,13.148,-4.1667,119.58,ML
34,310.3,2437200000.0,0.17388,12.625,-10.0,134.06,ML
35,310.78,2474000000.0,0.17388,12.611,-9.5833,140.05,ML
36,311.26,2530000000.0,0.28215,13.556,-18.083,141.14,ML
37,311.74,2571900000.0,0.24606,12.963,-7.0,186.94,ML
38,312.22,2617900000.0,0.33465,13.032,0.91667,195.25,ML
39,312.7,2664000000.0,0.13451,13.329,7.8333,142.15,ML
40,313.22,2710700000.0,0.21654,13.074,-12.0,160.85,ML
41,313.73,2758300000.0,0.2231,12.787,-14.333,128.42,ML
42,314.25,2807200000.0,0.16076,13.375,-19.333,145.08,ML
43,314.77,2857700000.0,0.24934,14.111,4.25,204.31,HL
44,315.28,2909700000.0,0.31168,15.597,5.8333,251.23,HL
45,315.97,2963200000.0,0.1378,15.167,3.25,201.1,HL
46,316.91,3018300000.0,0.19357,13.861,-3.0,146.91,ML
47,317.64,3075100000.0,0.15748,13.912,5.5833,159.27,ML
48,318.45,3133600000.0,0.21982,13.236,2.6667,182.99,ML
49,318.99,3194100000.0,0.20013,13.537,5.8333,207.2,HL
50,319.62,3257000000.0,0.19029,13.532,-20.417,149.26,ML
51,320.04,3322500000.0,0.21325,13.069,-10.333,225.53,HL
52,321.38,3390700000.0,0.18045,13.481,-5.1667,201.81,HL
53,322.16,3461300000.0,0.26247,13.824,-2.4167,217.51,HL
54,323.04,3534000000.0,0.19685,13.713,-7.0833,196.17,ML
55,324.62,3607900000.0,0.29528,13.833,6.4167,247.31,HL
56,325.68,3682500000.0,0.25919,14.213,2.5,204.0,HL
57,326.32,3757700000.0,0.13123,13.144,-9.5833,150.8,ML
58,327.45,3833600000.0,0.21982,13.537,0.75,233.2,HL
59,329.68,3909700000.0,0.36417,13.792,14.833,193.38,ML
60,330.18,3985700000.0,0.18045,13.528,-7.5833,208.84,HL
61,331.08,4061400000.0,0.19685,13.009,-1.25,167.47,ML
62,332.05,4136500000.0,0.10499,13.787,-11.25,203.98,HL
63,333.78,4211300000.0,0.13123,13.736,18.167,152.95,ML
64,335.41,4286300000.0,0.26247,14.056,6.9167,219.77,HL
65,336.78,4362200000.0,0.27559,14.222,16.917,201.88,HL
66,338.68,4439600000.0,0.18701,13.935,27.417,231.49,HL
67,340.1,4518600000.0,0.26247,14.282,32.75,210.54,HL
68,341.44,4599000000.0,0.38714,13.287,13.25,295.85,HL
69,343.03,4681200000.0,0.479,14.745,30.75,397.82,VHL
70,344.58,4765700000.0,0.20013,14.704,15.75,252.34,HL
71,346.04,4852500000.0,0.1706,13.88,12.417,199.08,ML
72,347.39,4942100000.0,0.25591,14.606,19.25,264.68,HL
73,349.16,5033800000.0,0.20669,14.81,34.083,238.46,HL
74,351.56,5126600000.0,0.18045,14.745,40.25,183.7,ML
75,353.07,5219000000.0,0.12795,14.176,28.917,207.72,HL
76,354.35,5309700000.0,0.14764,14.389,44.0,223.26,HL
77,355.57,5398300000.0,0.18373,14.222,42.75,217.28,HL
78,356.38,5485100000.0,0.22638,15.403,22.75,301.39,VHL
79,357.07,5570000000.0,0.25591,15.056,24.417,292.25,HL
80,358.82,5653300000.0,0.26575,13.852,32.0,213.43,HL
81,360.8,5735100000.0,0.29856,14.556,45.833,287.41,HL
82,362.59,5815400000.0,0.3248,14.792,34.667,249.03,HL
83,363.71,5894200000.0,0.21982,15.324,47.833,308.24,VHL
84,366.65,5971900000.0,0.46588,14.074,63.583,314.6,VHL
85,368.33,6049200000.0,0.23622,13.713,41.917,202.93,HL
86,369.52,6126600000.0,0.28215,14.444,42.583,224.88,HL
87,371.13,6204300000.0,0.35105,14.356,54.833,225.2,HL
88,373.22,6282300000.0,0.24278,14.463,63.25,240.72,HL
89,375.77,6360800000.0,0.21325,14.764,62.083,253.02,HL
90,377.49,6439800000.0,0.24934,15.093,54.667,257.06,HL
91,379.8,6519600000.0,0.35761,14.796,69.0,278.44,HL
92,381.9,6600200000.0,0.31496,14.259,63.583,304.71,VHL
93,383.76,6681600000.0,0.15092,14.176,66.083,193.68,ML
94,385.59,6763700000.0,0.17717,14.231,53.833,230.48,HL
95,387.37,6846500000.0,0.21654,14.509,65.0,252.89,HL
96,389.85,6929700000.0,0.31168,14.769,72.0,264.51,HL
97,391.63,7013400000.0,0.22638,13.861,60.667,260.19,HL
98,393.82,7097500000.0,0.27231,14.185,63.583,258.68,HL
